// NAME,RELOAD,RECOIL,SHUDDER,SIZE,HEALTH,DAMAGE,PEN,SPEED,MAX,RANGE,DENSITY,SPRAY,RESIST
trap,36,1,0.25,0.6,1,0.75,1,5,1,1,1,15,3
swarm,18,0.25,0.05,0.4,1,0.75,1,4,1,1,1,5,1
drone,50,0.25,0.1,0.6,1,1,1,2,1,1,1,0.1,1
factory,60,1,0.1,0.7,1,0.75,1,3,1,1,1,0.1,1
basic,18,1.4,0.1,1,1,0.75,1,4.5,1,1,1,15,1
blank,1,1,1,1,1,1,1,1,1,1,1,1,1
spam,1.1,1,1,1.05,1,1.1,1,0.9,0.7,1,1,1,1.05
minion,1,1,2,1,0.4,0.4,1.2,1,1,0.75,1,2,1
single,1.05,1,1,1,1,1,1,1.05,1,1,1,1,1
sniper,1.35,1,0.25,1,1,0.8,1.1,1.5,1.5,1,1.5,0.2,1.15
rifle,0.8,0.8,1.5,1,0.8,0.8,0.9,1,1,1,1,2,1
assass,1.65,1,0.25,1,1.15,1,1.1,1.18,1.18,1,3,1,1.3
hunter,1.5,0.7,1,0.95,1,0.9,1,1.1,0.8,1,1.2,1,1.15
hunter2,1,1,1,0.9,2,0.5,1.5,1,1,1,1.2,1,1.1
preda,1.4,1,1,0.8,1.5,0.9,1.2,0.9,0.9,1,1,1,1
snake,0.4,1,4,1,1.5,0.9,1.2,0.2,0.35,1,3,6,0.5
sidewind,1.5,2,1,1,1.5,0.9,1,0.15,0.5,1,1,1,1
snakeskin,0.6,1,2,1,0.5,0.5,1,1,0.2,0.4,1,5,1
mach,0.5,0.8,1.7,1,0.7,0.7,1,1,0.8,1,1,2.5,1
blaster,1,1.2,1.25,1.1,1.5,1,0.6,0.8,0.33,0.6,0.5,1.5,0.8
chain,1.25,1.33,0.8,1,0.8,1,1.1,1.25,1.25,1.1,1.25,0.5,1.1
mini,1.25,0.6,1,0.8,0.55,0.45,1.25,1.33,1,1,1.25,0.5,1.1
stream,1.1,0.6,1,1,1,0.65,1,1.24,1,1,1,1,1
shotgun,8,0.4,1,1.5,1,0.4,0.8,1.8,0.6,1,1.2,1.2,1
flank,1,1.2,1,1,1.02,0.81,0.9,1,0.85,1,1.2,1,1
tri,1,0.9,1,1,0.9,1,1,0.8,0.8,0.6,1,1,1
trifront,1,0.2,1,1,1,1,1,1.3,1.1,1.5,1,1,1
thruster,1,1.5,2,1,0.5,0.5,0.7,1,1,1,1,0.5,0.7
auto,1.8,0.75,0.5,0.8,0.9,0.6,1.2,1.1,1,0.8,1.3,1,1.25
five,1.15,1,1,1,1,1,1,1.05,1.05,1.1,2,1,1
autosnipe,1,1,1,1.4,2,1,1,1,1,1,1,1,1
pound,2,1.6,1,1,1,2,1,0.85,0.8,1,1.5,1,1.15
destroy,2.2,1.8,0.5,1,2,2,1.2,0.65,0.5,1,2,1,3
anni,0.8,1.25,1,1,1,1,1,1,1,1,1,1,1
hive,1.5,0.8,1,0.8,0.7,0.3,1,1,0.6,1,1,1,1
arty,1.2,0.7,1,0.9,1,1,1,1.15,1.1,1,1.5,1,1
mortar,1.2,1,1,1,1.1,1,1,0.8,0.8,1,1,1,1
spreadmain,0.78125,0.25,0.5,1,0.5,1,1,1.9,1.15,1,1,1,1
spread,1.5,1,0.25,1,1,1,1,0.7,0.7,1,1,0.25,1
skim,1,0.8,0.8,0.9,1.35,0.8,2,0.3,0.3,1,1,1,1.1
twin,1,0.5,0.9,1,0.9,0.7,1,1,1,1,1,1.2,1
bent,1.1,1,0.8,1,0.9,1,0.8,1,1,1,0.8,0.5,1
